Date,Open,High,Low,Close,Adj Close,Volume
2008-03-19,14.875000,17.250000,13.750000,14.125000,12.605221,708486000
2008-03-20,14.600000,16.250000,14.375000,16.087500,14.356564,198985200
2008-03-24,16.809999,16.924999,14.750000,14.932500,13.325835,149566400
2008-03-25,15.145000,16.062500,14.955000,15.812500,14.111154,87092000
2008-03-26,15.682500,16.120001,15.392500,15.990000,14.269555,43111600
2008-03-27,16.012501,16.184999,15.662500,15.727500,14.035297,39829600
2008-03-28,15.842500,15.860000,15.540000,15.690000,14.001834,24675200
2008-03-31,15.650000,15.870000,15.512500,15.590000,13.912593,22157200
2008-04-01,15.765000,15.920000,15.077500,15.402500,13.745267,60410800
2008-04-02,15.430000,15.580000,15.125000,15.580000,13.903668,43836400
2008-04-03,15.487500,16.572500,15.455000,16.375000,14.613132,100868000
2008-04-04,16.225000,16.330000,15.937500,16.120001,14.385569,36394400
2008-04-07,16.275000,16.450001,16.004999,16.260000,14.510507,28301600
2008-04-08,16.225000,17.059999,16.202499,17.022499,15.190963,53925600
2008-04-09,17.110001,17.180000,16.402500,16.447500,14.677831,48324400
2008-04-10,16.540001,16.682501,16.277500,16.527500,14.749223,22372000
2008-04-11,16.312500,16.692499,16.312500,16.527500,14.749223,26421600
2008-04-14,16.674999,16.809999,16.382500,16.420000,14.653285,28443600
2008-04-15,16.572500,16.637501,16.000000,16.087500,14.356564,23888000
2008-04-16,16.139999,16.737499,16.139999,16.535000,14.755919,25136800
2008-04-17,16.565001,16.937500,16.502501,16.760000,14.956703,22459600
2008-04-18,17.002501,17.612499,16.799999,17.250000,15.393985,104099600
2008-04-21,17.370001,18.125000,17.212500,17.742500,15.833496,58848000
2008-04-22,17.980000,18.100000,17.500000,17.570000,15.679547,47357600
2008-04-23,17.737499,17.924999,17.422501,17.520000,15.634931,37319600
2008-04-24,17.799999,18.247499,17.510000,18.075001,16.130213,38086800
2008-04-25,19.000000,19.020000,18.477501,18.775000,16.754902,101460000
2008-04-28,19.125000,19.322500,18.725000,18.907499,16.873140,132517200
2008-04-29,18.537500,20.219999,17.750000,20.219999,18.044428,197308400
2008-04-30,20.350000,21.202499,20.267500,20.862499,18.617790,147543600
2008-05-01,21.097500,21.910000,20.975000,21.350000,19.052847,116395600
2008-05-02,21.822500,21.875000,20.250000,20.687500,18.461626,136648800
2008-05-05,20.712500,21.375000,20.205000,21.264999,18.976990,70377200
2008-05-06,21.367500,22.037500,21.187500,21.882500,19.528048,75913200
2008-05-07,22.207500,22.459999,21.915001,22.125000,19.744453,100464800
2008-05-08,22.375000,22.437500,21.485001,21.825001,19.476742,92836400
2008-05-09,21.452499,21.667500,20.629999,20.715000,18.486166,94312000
2008-05-12,20.912500,21.120001,19.525000,20.475000,18.271984,147471600
2008-05-13,20.457500,20.875000,20.197500,20.594999,18.379076,53249600
2008-05-14,20.825001,21.087500,20.362499,20.557501,18.345613,51400400
2008-05-15,20.632500,20.732500,20.277500,20.562500,18.350067,36688800
2008-05-16,20.677500,20.712500,20.315001,20.592501,18.376850,34066800
2008-05-19,20.567499,21.184999,20.537500,20.830000,18.588789,45473200
